Id_circuito;Nombre;Pais;Ciudad;Longitud
;Yas Marina ;Abu Dhabi;Abu Dhabi;5282
;Jeddah;Arabia Saudí;Jeddah;6174
;Albert Park;Australia;Melbourne ;5278
;Red Bull Ring;Austria;Spielberg;4318
;Baku;Azerbaiyán;Bakú;6003
;Sakhir;Bahréin;Sakhir;5412
;Gilles Villeneuve;Canadá;Montreal;4361
;Shanghai;China;Shanghái;5451
;Emilia Romagna;Itala;Imola;4909
;Circuit Barcelona Catalunya;España;Barcelona;4657
;Las Américas;Estados Unidos;Austin (Circuito de las Américas);5513
;Spa-Francorchamps;Francia;Spa-Francorchamps;7004
;Silverstone;Gran Bretaña;Northamptonshire (Silverstone);5891
;Hungaroring;Hungría;Budapest;4381
;Monza;Italia;Monza;5793
;Suzuka;Japón;Suzuka;5807
;Las Vegas;Estados Unidos;Las Vegas;6201
;Autódromo Hermanos Rodríguez;México;Ciudad de México;4304
;Hard Rock Stadium Circuit;Estados Unidos;Miami;5412
;Montecarlo ;Mónaco;Montecarlo ;3337
;Zandvoort;Países Bajos;Zandvoort;4259
;Losail;Qatar;Losail;5419
;Interlagos;Brasil;Sao Paulo;4309
;Marina Bay;Singapur;Singapur;4940
